timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker
1540168016.666,218.750,19.043,23.438,15.137,-4.395,0
1540168016.670,219.727,19.043,23.438,17.090,-6.836,0
1540168016.674,222.656,20.996,25.879,21.973,2.441,0
1540168016.678,222.168,21.484,24.902,21.973,58.105,0
1540168016.682,222.656,20.508,24.414,26.855,9.277,0
1540168016.686,220.215,20.996,21.484,20.996,11.230,0
1540168016.690,216.309,22.461,21.973,17.578,55.176,0
1540168016.694,215.332,25.391,23.926,24.902,19.531,1
1540168016.698,215.332,27.832,23.438,25.879,22.461,0
1540168016.702,216.797,25.391,26.367,20.020,23.438,0
1540168016.705,223.145,23.438,29.785,16.113,-2.930,0
1540168016.709,221.680,24.902,28.809,17.578,20.508,0
1540168016.713,219.238,27.832,24.902,18.066,29.297,0
1540168016.717,218.262,27.344,24.414,12.695,12.695,0
1540168016.721,221.680,24.902,28.809,13.184,38.086,0
1540168016.725,222.656,28.809,29.785,17.578,68.359,0
1540168016.729,220.703,32.715,27.344,18.066,84.961,0
1540168016.733,222.656,30.762,26.855,19.531,45.410,0
1540168016.737,225.098,30.273,26.855,18.555,42.969,0
1540168016.741,225.098,27.344,27.344,18.066,65.430,0
1540168016.745,226.562,25.391,29.785,24.414,10.254,0
1540168016.748,224.609,26.367,31.250,27.832,-19.531,0
1540168016.752,226.562,22.461,31.250,25.391,40.527,0
1540168016.756,231.445,23.438,26.855,30.762,76.660,0
1540168016.760,234.863,23.926,25.391,31.250,10.254,0
1540168016.764,247.070,24.414,24.902,25.391,13.672,0
1540168016.768,255.371,26.855,25.879,22.949,55.664,0
1540168016.772,256.836,26.855,25.879,19.531,17.578,0
1540168016.776,260.254,27.344,25.391,23.926,-10.254,0
1540168016.780,259.277,25.879,27.344,27.344,24.902,0
1540168016.784,254.395,24.902,28.809,21.484,18.555,0
1540168016.788,256.836,27.344,29.785,20.508,34.180,0
1540168016.791,250.488,27.832,29.297,28.809,33.203,0
1540168016.795,237.305,24.902,25.879,24.902,46.387,0
